min_results,avg_reward,success_rate,death_rate,best_reward,rolling_avg_50,rolling_avg_100,total_engrams,avg_engram_distance
10,-128.9758606653148,2.0,0.0,215.39425770091373,-128.9758606653148,-128.9758606653148,57984,0.31013658164624686
100,-41.0190723994165,6.0,0.0,276.5904443145765,-41.0190723994165,-41.0190723994165,57984,0.3006352635748966
200,-30.720361908646495,2.0,0.0,212.72063503564144,-30.720361908646495,-30.720361908646495,57984,0.28651900995094837
300,-10.555211482452107,2.0,0.0,245.47938428994584,-10.555211482452107,-10.555211482452107,57984,0.29828008208624046
400,-9.518048880908134,0.0,0.0,194.70044663618032,-9.518048880908134,-9.518048880908134,57984,0.28621575594673176
500,-48.72099321679863,0.0,0.0,192.10707126832227,-48.72099321679863,-48.72099321679863,57984,0.29651268293165206
1000,-16.90875028321276,2.0,0.0,223.33882783552923,-16.90875028321276,-16.90875028321276,57984,0.29991353257100906
